is_RT	retweet_from	whole_tweet_text	original_text	retweet_text
1		RT @SteveSGoddard: The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??e		
1		"""@pellman11: @realDonaldTrump My mother has such a crush on you. She beat breast cancer this past year. Can I request a RT for my hero.Love"	" ""@pellman11: @realDonaldTrump My mother has such a crush on you. She beat breast cancer this past year. Can I request a"	 for my hero.Love
1		"""@ShadesOfLilac: RT “@realDonaldTrump: We should not be importing the disease to our homeland.” Completely agree, Mr. Trump."""	" ""@ShadesOfLilac:"	" “@realDonaldTrump: We should not be importing the disease to our homeland.” Completely agree, Mr. Trump."""
1		.@alexsalmond @pressjournal @BBCNews RT ‏@DanScavino the photos that they don't show the public... http://t.co/io18z7NM9b	 .@alexsalmond @pressjournal @BBCNews	 ‏@DanScavino the photos that they don't show the public... http://t.co/io18z7NM9b
1		"""@tobylight11: Hi can u RT my daughter #JODIEDIXON she died 03/05/2014 age16 with cystic fibrosis thanx Jodie's dad http://t.co/jPoOB7OsTG"""	" ""@tobylight11: Hi can u"	" my daughter #JODIEDIXON she died 03/05/2014 age16 with cystic fibrosis thanx Jodie's dad http://t.co/jPoOB7OsTG"""
1		"""@macresslertech: RT ObamaCare premiums could jump as high as 51% http://t.co/5jF0J3OY3X Terrible for economy. Repeal & Replace."	" ""@macresslertech:"	 ObamaCare premiums could jump as high as 51% http://t.co/5jF0J3OY3X Terrible for economy. Repeal & Replace.
1		"""@TheNewsClub_US: RT ""@MNMans: Polling Convergence - OAN/GRAVIS and Reuters… http://t.co/3NXztsLOhx #RT #CNN #HBO http://t.co/zzKm8wUYqY"""	" ""@TheNewsClub_US:"	" ""@MNMans: Polling Convergence - OAN/GRAVIS and Reuters… http://t.co/3NXztsLOhx #RT #CNN #HBO http://t.co/zzKm8wUYqY"""
1		"""@ISaidKnow: AWESOME! RT Again, more dead people voted in the last election than enrolled in ObamaCare. Congratulations America!” Thanks!"	" ""@ISaidKnow: AWESOME!"	 Again, more dead people voted in the last election than enrolled in ObamaCare. Congratulations America!” Thanks!
1		"""@MindOfMcN: @Chrisgraham101 RT TTonight the 2nd and 3rd eps of The Apprentice are on at 8 & 9. Great ratings last night 18 - 49. FUN!"""	" ""@MindOfMcN: @Chrisgraham101"	" TTonight the 2nd and 3rd eps of The Apprentice are on at 8 & 9. Great ratings last night 18 - 49. FUN!"""
1		"""@dany8ro: Aha RT ""@realDonaldTrump: You have good taste! ""@JayRobby: I love Bill Gates and Warren Buffet and Donald Trump. I so love them."""	" ""@dany8ro: Aha"	" ""@realDonaldTrump: You have good taste! ""@JayRobby: I love Bill Gates and Warren Buffet and Donald Trump. I so love them."""
1		"""@nicla_b: @realDonaldTrump Pls help highlight and RT Protect Blackdog: Welcome to the Protect Blackdog Blog!"	" ""@nicla_b: @realDonaldTrump Pls help highlight and"	 Protect Blackdog: Welcome to the Protect Blackdog Blog!
1		"""@Genie115: #MakeAmericaGreatAgain we can only do that with @realDonaldTrump RT https://t.co/RViAgxoa4t"""	" ""@Genie115: #MakeAmericaGreatAgain we can only do that with @realDonaldTrump"	" https://t.co/RViAgxoa4t"""
1		@digiphile @RedCross RT if you think Pres.Obama should release his records to get $5M for charity--for Red Cross or another great charity	 @digiphile @RedCross	 if you think Pres.Obama should release his records to get $5M for charity--for Red Cross or another great charity
1		"""@smithg_: @realDonaldTrump should run for president next election RT #Trump4Prez"" Thanks for such nice words."	" ""@smithg_: @realDonaldTrump should run for president next election"	" #Trump4Prez"" Thanks for such nice words."
1		"""@lvseven: @realDonaldTrump we share a birthday June 14 how about a RT for a huge fan and admirer"""	" ""@lvseven: @realDonaldTrump we share a birthday June 14 how about a"	" for a huge fan and admirer"""
1		"""@jshamie: @realDonaldTrump Can I get a RT for the Hatzahlah Charity Golf Outing tomorrow at Trump National Colts Neck?"""	" ""@jshamie: @realDonaldTrump Can I get a"	" for the Hatzahlah Charity Golf Outing tomorrow at Trump National Colts Neck?"""
1		"""@Sam_Kotowski: Once again @realDonaldTrump does a great job on Fox News w/ Greta. Run for president! RT I'm a huge fan!!!"" Thank you!"	" ""@Sam_Kotowski: Once again @realDonaldTrump does a great job on Fox News w/ Greta. Run for president!"	" I'm a huge fan!!!"" Thank you!"
